"Source:","C:\Users\diane\Desktop\GIT_Depot\MOSCH_project\2021-2022_Diane_Thomas_Project\Shiel_capteur\LT1050.kicad_sch"
"Date:","16/03/2022 17:25:07"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","22"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C3, ","3","100n","C","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","Unpolarized capacitor",""
"C4, ","1","1u","C","Capacitor_THT:C_Rect_L9.0mm_W5.1mm_P7.50mm_MKT","Unpolarized capacitor",""
"keyes_KY_1, ","1","Encodeur_rotatoire","Encodeur_rotatoire","Librarie_composant:Encodeur_rotatoire","",""
"P1, ","1","Power","Conn_01x08","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"P2, ","1","Analog","Conn_01x06","Socket_Arduino_Uno:Socket_Strip_Arduino_1x06","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"P3, ","1","Digital","Conn_01x10","Socket_Arduino_Uno:Socket_Strip_Arduino_1x10","Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"P4, ","1","Digital","Conn_01x08","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"P5, P6, P7, P8, ","4","CONN_01X01","Conn_01x01","Socket_Arduino_Uno:Arduino_1pin","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R1, R3, ","2","100k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R2, R6, ","2","1k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R5, ","1","10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"U0, ","1","Capteur_graphite","Capteur_graphite_1","Librarie_composant:Capteur_graphite","",""
"U1, ","1","LT1050","LT1050","Librarie_composant:DIP-8_296_ELL","",""
"U2, ","1","Module_bluetooth","Module_bluetooth_1","Librarie_composant:Module bluetooth","",""
"U3, ","1","OLED","OLED","Librarie_composant:OLED","",""
